"","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"3904","GBPLEN CORPORATION","KOLEN CO., LTD,","KR",8,"BONDING",438996,30,14633.2,"South Korea"
"3905","ENTEL HK PHILIPPINES","KYOEI DENKI LTD","JP",8,"CEMEDINE",431394,140,3081.38571428571,"Japan"
"3906","IONICS EMS INC.","NAMICS CORPORATION","JP",8,"CHIPCOAT",1446233,42,34434.119047619,"Japan"
"3907","YAMAZEN MACHINERY & TOOLS PHILS.","YAMAZEN CORPORATION","JP",8,"OTHERS",359753,21,17131.0952380952,"Japan"
"3908","NIDEC PHILIPPINES CORPORATION","KAKEN TECH CO., LTD","JP",8,"ADHESIVE",312254,19,16434.4210526316,"Japan"
"3909","NANOX PHILIPPINES INC","ELEMATEC CORPORATION","JP",8,"OTHERS",424488,2,212244,"Japan"
"3910","KDTECHNOLOGIES INC.","DOW SILICONES CORPORATION CDW","US",8,"OTHERS",326786,104,3142.17307692308,"United States"
"3911","JAE PHILIPPINES INC.","THREE BOND CO LTD","JP",8,"ADHESIVE",401811,9,44645.6666666667,"Japan"
"3912","JAE PHILIPPINES INC.","THREE BOND SINGAPORE PTE LTD","JP",8,"ADHESIVE",461524,25,18460.96,"Japan"
"3913","TDK PHILIPPINES CORPORATION","DELO INDUSTRIE KLEBSTOFFE GMBH & CO","DE",8,"OTHERS",932428,348,2679.3908045977,"Germany"
"3914","ON SEMICONDUCTOR PHILIPPINES INC.","SUMITOMO BAKELITE SINGAPORE","SG",8,"OTHERS",7262879,321,22625.7912772586,"Singapore"
"3915","ALLEGRO MICROSYSTEMS PHILIPPINES","SUMITOMO BAKELITE SINGAPORE PTE LTD","SG",8,"OTHERS",1914829,96,19946.1354166667,"Singapore"
"3916","ON SEMICONDUCTOR PHILIPPINES INC.","SUMITOMO BAKELINE SINGAPORE","SG",8,"OTHERS",4658773,214,21769.9672897196,"Singapore"
"3917","TI (PHILIPPINES) INC.","DOW CORNING TORAY CO LTD","JP",8,"OTHERS",889393,147,6050.2925170068,"Japan"
"3918","TI (PHILIPPINES) INC.","DOW CORNING TORAY CO LTD","JP",8,"ADHESIVE",1557721,50,31154.42,"Japan"
"3919","AMERTRON INCORPORATED","KYOEI DENKI (S) PTE LTD.","SG",8,"OTHERS",1215579,287,4235.4668989547,"Singapore"
"3920","AMERTRON INCORPORATED","HANA SEMICONDUCTOR (AYUTTHAYA) CO.,","TH",8,"OTHERS",906848,187,4849.45454545455,"Thailand"
"3921","ENTEL HK PHILIPPINES","KYOEI DENKI S PTE LTD","SG",8,"OTHERS",342239,55,6222.52727272727,"Singapore"
"3922","WYNTRON INC.","DYMAX ASIA PACIFIC PTE LTD","SG",8,"ADHESIVE",1383087,443,3122.09255079007,"Singapore"
"3923","AMERTRON INCORPORATED","UNITED RESIN CORPORATION","US",8,"OTHERS",1073555,233,4607.5321888412,"United States"
"3924","FABCON PHILS. INC.","CATALYSTS BIO TECHNOLOGIES PVT","IN",8,"OTHERS",861421,320,2691.940625,"India"
"3925","EATON INDUSTRIES PHILIPPINES LLC P","EPOXYSET INC","US",8,"EPOXY",8007973,1639,4885.88956680903,"United States"
"3926","AMERTRON INCORPORATED","EPOXY & EQUIPMENT TECHNOLOGY","SG",8,"EPOXY",396380,50,7927.6,"Singapore"
"3927","SIA ENGINEERING PHILS CORP.","AEROSPACE RELIANCE","GB",8,"ADHESIVE",334378,116,2882.56896551724,"United Kingdom"
"3928","INTEGRATED MICRO-ELECTRONICS INC.","RJR POLYMERS","US",8,"OTHERS",2594744,50,51894.88,"United States"
"3929","DKSH PHILIPPINES INC.","FRIESLANDCAMPINA DMV","NL",8,"CASEINATE",2152788,3000,717.596,"Netherlands"
"3930","CHIYODA PHILIPPINES MANUFACTURING","CHIYODA MANUFACTURING CORP","JP",8,"FILLER",301262,183,1646.24043715847,"Japan"
"3931","B/E AEROSPACE B.V. - (PHIL BRANCH)","MANKIEWICZ GEBR. & CO.","DE",8,"OTHERS",871172,1705,510.951319648094,"Germany"
"3932","HILTI PHILIPPINES INC.","HILTI AKTIENGESELLSCHAFT","CH",8,"OTHERS",489174,196,2495.78571428571,"Switzerland"
"3933","N.T. PHILIPPINES INC.","TAIFLEX SCIENTIFIC CO. LTD.","TW",8,"OTHERS",3271758,972,3366.00617283951,"Taiwan"
"3934","NIKKOSHI PHILIPPINES CORPORATION","NIKKOSHI CO.,LTD.","JP",8,"OTHERS",452910,65,6967.84615384615,"Japan"
"3935","MAXTRONIX LAGUNA INC","DYMAX ASIA PACIFIC PTE. LTD","SG",8,"GLUE",1542727,8,192840.875,"Singapore"
"3936","TRS PHILS CORPORATION","TRS CO, LTD.","JP",8,"GLUE",1521001,119,12781.5210084034,"Japan"
"3937","HYSONIC PHILIPPINES INC","RBK EMD CO., LTD","KR",8,"GLUE",1290031,109,11835.1467889908,"South Korea"
"3938","MAXTRONIX LAGUNA INC","DYMAX ASIA PACIFIC PTE. LTD","US",8,"GLUE",832805,27,30844.6296296296,"United States"
"3939","CONTINENTAL TEMIC ELECTRONICS PHILS","DOW SILICONES CORPORATION","US",8,"ADHESIVE",362495,271,1337.61992619926,"United States"
"3940","BRENNTAG INGREDIENTS INC.","DUPONT NUTRITION BIOSCIENCES","DK",8,"OTHERS",322319,150,2148.79333333333,"Denmark"
"3941","HENKEL PHILIPPINES INC.","HENKEL LOCTITE (CHINA) CO. LTD","CN",8,"ADHESIVE",544423,192,2835.53645833333,"China"
"3942","HENKEL PHILIPPINES INC.","HENKEL ADHESIVES TECHNOLOGIES","CN",8,"ADHESIVE",382746,508,753.437007874016,"China"
"3943","ARMSCOR GLOBAL DEFENSE INC","ARMSCOR PRECISION INTERNATIONAL","US",8,"SEAL",343613,114,3014.14912280702,"United States"
"3944","TI (PHILIPPINES) INC.","DISCO CORPORATION","JP",8,"OTHERS",1368150,352,3886.78977272727,"Japan"
"3945","PIVOT-HAWKS MANILA. INC","ELLSWORTH ADHESIVES SYSTEMS","US",8,"SEAL",283843,182,1559.57692307692,"United States"
"3946","INGREDION PHILIPPINES INC.","INGREDION INCORPORATED","US",8,"STARCH",455625,1021,446.253672869736,"United States"
"3947","BNC INGREDIENTS CORPORATION","KERRY INGREDIENTS & FLAVOURS L","IE",8,"OTHERS",649642,100,6496.42,"Ireland"
"3948","BARENTZ PHILIPPINES INC.","NOVOZYMES MALAYSIA SDN BHD","MY",8,"ENZYME",866468,304,2850.22368421053,"Malaysia"
"3949","HONDA PHILIPPINES INC.","THREE BOND SINGAPORE PTE LTD","SG",8,"OTHERS",345481,74,4668.66216216216,"Singapore"
"3950","CURT MANUFACTURING PHILIPPINES INC.","CURT MANUFACTURING","US",8,"EPOXY",759573,385,1972.91688311688,"United States"
"3951","INTEGRATED MICRO-ELECTRONICS INC.","HENKEL ELECTRONIC MATERIALS","US",8,"LOCTITE",1845488,73,25280.6575342466,"United States"
"3952","TEMIC AUTOMOTIVE (PHILS.) INC.","HENKEL ELECTRONIC  MATERIALS LLC","US",8,"LOCTITE",882261,169,5220.47928994083,"United States"
"3953","INTEGRATED MICRO-ELECTRONICS INC.","HENKEL LOCTITE","CN",8,"LOCTITE",720748,166,4341.85542168675,"China"
"3954","ALLEGRO MICROSYSTEMS PHILIPPINES","HENKEL ELECTRONIC MATERIAL LLC","US",8,"OTHERS",3413598,237,14403.3670886076,"United States"
"3955","AMERTRON INCORPORATED","MATERIAL TECHNOLOGY PTE LTD.","SG",8,"OTHERS",2424289,65,37296.7538461538,"Singapore"
"3956","AMERTRON INCORPORATED","HENKEL ELECTRONIC MATERIAL LLC","US",8,"OTHERS",1399617,356,3931.50842696629,"United States"
"3957","ALLEGRO MICROSYSTEMS PHILIPPINES","HENKEL TECHNOLOGIES (KOREA) LIMITED","KR",8,"OTHERS",5819991,554,10505.3989169675,"South Korea"
"3958","AMERTRON INCORPORATED","ABLESTIK (SHANGHAI) LTD.","CN",8,"OTHERS",1203739,65,18519.0615384615,"China"
"3959","VISHAY (PHILS.) INC.","ABLESTIK (SHAGHAI) LTD.","CN",8,"OTHERS",1663774,616,2700.93181818182,"China"
"3960","ANALOG DEVICES PHILIPPINES INC","HENKEL ELECTRONIC MATERIAL LLC","US",8,"ADHESIVE",1852404,37,50064.972972973,"United States"
"3961","AMERTRON INCORPORATED","HENKEL SINGAPORE PTE LTD.","SG",8,"OTHERS",635274,30,21175.8,"Singapore"
"3962","B/E AEROSPACE B.V. - (PHIL BRANCH)","MAGNOLIA ADVANCED MATERIALS INC","US",8,"OTHERS",5526570,1686,3277.91814946619,"United States"
"3963","NIKKOSHI PHILIPPINES CORPORATION","KISCO (T) LTD.","TH",8,"OTHERS",322216,54,5966.96296296296,"Thailand"
"3964","NESTLE PHILIPPINES INC.","NOVOZYMES A/S","DK",8,"ENZYME",1912493,1105,1730.7628959276,"Denmark"
"3965","AMERTRON INCORPORATED","SOL EPOXY INC.","US",8,"EPOXY",4419309,808,5469.44183168317,"United States"
"3966","SMK ELECTRONICS PHILS CORP","LG CHEM LTD","KR",8,"ADHESIVE",2180118,1092,1996.44505494505,"South Korea"
"3967","DKSH PHILIPPINES INC.","DSM FOOD SPECIALTIES FRANCE","DK",8,"OTHERS",290179,40,7254.475,"Denmark"
"3968","S.D. TRADING CORPORATION","SUNSTAR CHEMICAL (THAILAND) CO., LT","TH",8,"OTHERS",611401,2912,209.959134615385,"Thailand"
"3969","NISSHO PRECISION PHILIPPINES INCOR","SUZHOU NITTO MATEX ELECTRONICS CO.,","CN",8,"OTHERS",313073,242,1293.69008264463,"China"
"3970","UNIVATION MOTOR PHILIPPINES INC.","NISSAN TRADING (THAILAND) CO LTD","TH",8,"SEAL",1176804,1980,594.345454545455,"Thailand"
"3971","LUFTHANSA TECHNIK PHILIPPINES INC.","PRC-DESOTE INTERNATIONAL INC","US",8,"SEAL",731729,96,7622.17708333333,"United States"
"3972","APM TECHNICA AG","MOMENTIVE PERFORMANCE MATERIAL","US",8,"ADHESIVE",509967,415,1228.83614457831,"United States"
"3973","AMERTRON INCORPORATED","SUMITOMO METAL MINING CO LTD.","JP",8,"EPOXY",907743,78,11637.7307692308,"Japan"
"3974","WYNTRON INC.","HERAEUS MATERIALS SINGAPORE PTE LT","CN",8,"ADHESIVE",289178,37,7815.62162162162,"China"
"3975","TI (PHILIPPINES) INC.","M K ELECTRON CO LTD","KR",8,"OTHERS",1958767,595,3292.04537815126,"South Korea"
"3976","AUTOMATED TECHNOLOGY (PHIL) INC.","HERAEUS ROMANIA SRL","RO",8,"OTHERS",726482,127,5720.33070866142,"Romania"
"3977","S.D. TRADING CORPORATION","LOGTHAI OROTEX CO LTD","TH",8,"OTHERS",730991,1120,652.670535714286,"Thailand"
"3978","TOSHIBA INFORMATION EQUIPMENT PHILS","TRI-TEKTROINCS (S) PTE LTD","SG",8,"OTHERS",298681,5,59736.2,"Singapore"
"3979","N.T. PHILIPPINES INC.","SHELDAHL FLEXIBLE TECHNOLOGIES","US",8,"TAPE",4669903,1561,2991.60986547085,"United States"
"3980","N.T. PHILIPPINES INC.","MULTEK FLEXIBLE CIRCUITS INC","US",8,"TAPE",606404,100,6064.04,"United States"
"3981","AMERICAN POWER CONVERSION CORPORATI","GSI ELECTRONIC PTE LTD","SG",8,"TAPE",1701024,217,7838.8202764977,"Singapore"
"3982","INLAND WAREHOUSING & LOGISTICS DIV.","THREE BOND SINGAPORE PTE LTD","SG",8,"OTHERS",885321,200,4426.605,"Singapore"
"3983","INLAND WAREHOUSING & LOGISTICS DIV.","THREE BOND MANUFACTURING (THAILAND)","TH",8,"OTHERS",2789087,950,2935.88105263158,"Thailand"
"3984","TI (PHILIPPINES) INC.","LINTEC CORPORATION","JP",8,"TAPE",8035397,1414,5682.74186704385,"Japan"
"3985","DECA TECHNOLOGIES INC.(PHIL BRANCH)","LINTEC CORPORATION","JP",8,"TAPE",448083,100,4480.83,"Japan"
"3986","TI (PHILIPPINES) INC.","FURUKAWA ELECTRIC CO., LTD","JP",8,"TAPE",5513239,1423,3874.37737174982,"Japan"
"3987","TI (PHILIPPINES) INC.","FURUKAWA ELECTRIC CO LTD.","JP",8,"TAPE",1528496,339,4508.83775811209,"Japan"
"3988","NESTLE PHILIPPINES INC.","LACTOPROT DEUTSCHLAND GMBH","DE",8,"CASEINATE",19666154,50000,393.32308,"Germany"
"3989","CLAYMOUNT ASSEMBLIES PHILS INC","INTERVRACHT NEDERLAND","NL",8,"OTHERS",884522,541,1634.97597042514,"Netherlands"
"3990","EATON INDUSTRIES PHILIPPINES LLC","LIAN ZHENG ELECTRONICS SHENZHEN CO","CN",8,"GLUE",812069,2073,391.736131210806,"China"
"3991","ASAM INDUSTRIES INC.","POWERLINK ELEC. INTL (KY) LTD","TW",8,"SEAL",379099,1904,199.106617647059,"Taiwan"
"3992","ATOMED CEBU INC.","ATOM MEDICAL CORPORATION","JP",8,"OTHERS",918906,1408,652.632102272727,"Japan"
"3993","MINOURA PHILIPPINES CORP.","KIYOHARA & CO., LTD. TAIWAN BRANCH","TW",8,"OTHERS",1481857,11879,124.745938210287,"Taiwan"
"3994","DIAMOND DRY MORTAR INC.","AALBORG PORTLAND MALAYSIA SDN BHD","MY",8,"OTHERS",1250920,168900,7.40627590290113,"Malaysia"
"3995","GENERAL MILLING CORPORATION","MUEHLENCHEMIE GMBH & CO. KG","DE",8,"OTHERS",4065032,5000,813.0064,"Germany"
"3996","SCARBOROUGH FINE FURNITURE INC.","THE VALSPAR (MALAYSIA) CORPORATION","MY",8,"OTHERS",480243,1572,305.498091603053,"Malaysia"
"3997","LEYSAM COMMERCIAL INC.","HULSHOF","NL",8,"OTHERS",5668460,21400,264.881308411215,"Netherlands"
"3998","JAKA EQUITIES CORP.","WILRON PRODUCTS SDN BHD","MY",8,"OTHERS",1089938,10000,108.9938,"Malaysia"
"3999","FISCHER PH ASIA INC","FISCHERWERKE GMBH & CO. KG","DE",8,"OTHERS",1723219,2725,632.373944954128,"Germany"
"4000","MATERIALS SOLUTIONS  INC.","PT. AICA INDRIA","ID",8,"FOX GREEN SPRAY INWOOD DYNOLINK INPACK X ",1965340,19950,98.5132832080201,"Indonesia"
"4001","YAMASHIN CEBU FILTER MFG. CORP.","YUN TEH INDUSTRIAL CO., LTD.","TW",8,"OTHERS",1775359,8000,221.919875,"Taiwan"
"4002","CEBU FURNITECH MARKETING INC.","MIROTONE (THAILAND) CO., LTD.","TH",8,"OTHERS",1013020,9400,107.768085106383,"Thailand"
"4003","INGREDION PHILIPPINES INC.","NATIONAL STARCH AND CHEMICAL THAILA","TH",8,"MODIFIED STARCH",898008,18000,49.8893333333333,"Thailand"
"4004","CORNELL INGREDIENTS CORPORATION","ROQUETTE FRERES","FR",8,"OTHERS",2234013,12579,177.598616742189,"France"
"4005","ADSIA EUROBAKERS MARKETING CORP","COMIX PANEI BV","NL",8,"OTHERS",3590770,12000,299.230833333333,"Netherlands"
"4006","TFE SALES MKTG CORP.","MOMENTIVE PERFORMANCE MATERIALS (TH","JP",8,"ADHESIVE",1106662,28800,38.4257638888889,"Japan"
"4007","TFE SALES MKTG CORP.","MOMENTIVE PERFORMANCE MATERIALS (TH","TH",8,"ADHESIVE",558673,14400,38.7967361111111,"Thailand"
"4008","TOYOFLEX CEBU CORPORATION","TOYOFLEX CORPORATION","JP",8,"OTHERS",1021786,1606,636.230386052304,"Japan"
"4009","TFE SALES MKTG CORP.","SHIN-ETSU CHEMICAL CO., LTD.","JP",8,"SEAL",3369629,86400,39.0003356481481,"Japan"
"4010","AUTOLIV CEBU SAFETY MANUFACTURING","SIKA AUTOMOTIVE GMBH","DE",8,"SIKATHERM",1181219,3708,318.559600862999,"Germany"
"4011","S.E.A OLYMPUS MARKETING INC.","SEUNG HYUN CO., LTD.","KR",8,"SEAL",926225,3600,257.284722222222,"South Korea"
"4012","QUESTCOM TRADING","SK KAKEN CO LTD","JP",8,"OTHERS",961050,13640,70.458211143695,"Japan"
"4013","TSUNETETSU (CEBU) INC.","TSUNEISHI TRADING CO LTD","JP",8,"OTHERS",456312,381,1197.66929133858,"Japan"
"4014","TFE SALES MKTG CORP.","DOW CHEMICAL SILICONES KOREA LTD","KR",8,"OTHERS",566442,14625,38.7310769230769,"South Korea"
"4015","CEBU MITSUMI INC.","MITSUMI ELECTRIC CO.,LTD.","JP",8,"OTHERS",2528444,45,56187.6444444444,"Japan"
"4016","TEAM PACIFIC CORPORATION","HERAEUS MATERIALS (S) PTE LTD","SG",8,"PASTE",388645,46,8448.80434782609,"Singapore"
"4017","NAKAYAMA TECHNOLOGY CORPORATION","HOUSETEC INC","JP",8,"ADHESIVE",2099343,4392,477.992486338798,"Japan"
"4018","MATERIALS SOLUTIONS  INC.","PT.AICA INDRIA","ID",8,"OTHERS",5857873,49976,117.213722586842,"Indonesia"
"4019","ARVIN INTERNATIONAL MARKETING INC.","SHANGHAI NEWSUN INTERNATIONAL TRADI","CN",8,"MODIFIED STARCH",2007251,1e+05,20.07251,"China"
"4020","MARTIN Y. PINEDA","BAROCO KOREA CO. LTD","KR",8,"OTHERS",1378297,33480,41.1677718040621,"South Korea"
"4021","DAVAO PACKAGING CORPORATION","INGREDION INC","US",8,"OTHERS",1462915,16344,89.5077704356339,"United States"
"4022","ASYA GLASS PHILIPPINES INC.","GUANGDONG OLIVIA CHEMICAL INDUSTRY","CN",8,"SEAL",4258544,16398,259.698987681425,"China"
"4023","DOLE PHILIPPINES INC.","CHUEN HUAH CHEMICAL CO., LTD","TW",8,"STARCH",465478,6000,77.5796666666667,"Taiwan"
"4024","DAVAO FIBREBOARD PACKAGING PLANT","CHUEN HUAH CHEMICAL CO., LTD","TW",8,"STARCH",1392883,16320,85.3482230392157,"Taiwan"
"4025","MINTRADE CORPORATION","LINYISHUNHE SUNSHINE INTL., TRADE C","CN",8,"GLUE",139935,2000,69.9675,"China"
"4026","MINTRADE CORPORATION","GLOBECHEM RESOURCES CO., LIMITED","MY",8,"GLUE",2522483,136260,18.5122779979451,"Malaysia"
"4027","KAMAZ TRADING","GUANGZHOU DUNHONG IMP & EXP TRADING","CN",8,"OTHERS",1458014,81000,18.0001728395062,"China"
"4028","ENVIREAU PACIFIC INC","AQUARIAN INDUSTRIES INTERNATIONAL L","CA",8,"OTHERS",327498,120,2729.15,"Canada"
"4029","DOLE PHILIPPINES INC.","CHUEN HUAH CHEMICAL CO., LTD","TW",8,"OTHERS",710337,9000,78.9263333333333,"Taiwan"
"4030","POLARA CHEMICAL CORP.","CHEMIX GURU LTD.","TW",8,"GLUE",565865,10000,56.5865,"Taiwan"
"4031","HIZON LABORATORIES INC","GELTECH CO., LTD","KR",8,"GELATIN",4062074,10000,406.2074,"South Korea"
"4032","EQUIPMENT ENGINEERS INC.","CETCO POLAND","PL",8,"OTHERS",1980742,9123,217.115203332237,"Poland"
"4033","EASY BIO PHILIPPINES INC.","EASY BIO INC","KR",8,"OTHERS",2813790,20000,140.6895,"South Korea"
"4034","DEL MONTE PHILS INC. / PHILPACK","CARGILL BIO CHEMICAL CO LTD","CN",8,"OTHERS",11556742,245075,47.1559400183617,"China"
"4035","MATERIALS SOLUTIONS  INC.","PT AICA INDRIA","ID",8,"OTHERS",4414786,32527,135.726811571925,"Indonesia"
"4036","AGRI SPECIALIST INC","DANISCO SINGAPORE PTE LTD","SG",8,"ENZYME",5207651,5000,1041.5302,"Singapore"
"4037","BORLA ENTERPRISES","HANGZHOU XIAORAN IMP & EXP","CN",8,"SEAL",566479,13322,42.5220687584447,"China"
"4038","LUXBUILT CONSTRUCTION & IND. SUPPLY","DOW CHEMICAL SILICONE KOREA","KR",8,"SEAL",1130490,22620,49.9774535809019,"South Korea"
"4039","FIBERWORLD INC.","RUGAO JAOUR ADHESIVE PRODUCTS","CN",8,"ADHESIVE",2742114,25000,109.68456,"China"
"4040","D'LUXE BAGS PHILIPPINES INC.","LUEN THAI FOOTWEAR MACAO COMME","HK",8,"GLUE",1693662,5460,310.194505494506,"Hong Kong SAR China"
"4041","TURRIS PHIL. INC.","SHANDONG YUXIN BIO-TECH CO., LTD","CN",8,"PROTEIN",5584162,50000,111.68324,"China"
"4042","TURRIS PHIL. INC.","SHANDING YUXIN BIO-TECH CO., LTD","CN",8,"PROTEIN",5607808,50000,112.15616,"China"
"4043","JDS CONSTRUCTION PHILS. INC.","EAGLE S.A.","GR",8,"OTHERS",909354,47600,19.1040756302521,"Greece"
"4044","UK OFFICE INCORPORATED","YIWU ZHIDIAN TRADE","CN",8,"GLUE",693728,6671,103.991605456453,"China"
"4045","TURRIS PHIL. INC.","QINGDAO CROWN IMPORT","CN",8,"PROTEIN",2116699,19240,110.015540540541,"China"
"4046","DENROX BLESS INTERNATIONAL TRADING","SHENZHEN XINGYUAN IMPORT AND E","CN",8,"ADHESIVE",1029330,23160,44.4443005181347,"China"
"4047","MCR INDUSTRIES INC","OG CORP","JP",8,"ADHESIVE",320536,400,801.34,"Japan"
"4048","TRANS WORLD TRADING CO.INC.","LORD INTERNATIONAL TRADING ( SHANGH","CN",8,"ADHESIVE",3990668,4864,820.449835526316,"China"
"4049","D'LUXE BAGS PHILIPPINES INC.","DA RONG CO., LIMITED","VN",8,"ADHESIVE",1836816,9900,185.53696969697,"Vietnam"
"4050","HENKEL PHILIPPINES INC.","HENKEL ADHESIVES COMPANY LIMIT","CN",8,"ADHESIVE",378324,4000,94.581,"China"
"4051","KORPACK PHILIPPINES CORPORATION","KORPACK CORPORATION","RE",8,"ADHESIVE",308040,6031,51.0761067816283,"Réunion"
"4052","UNION INKS AND GRAPHICS PHILS INC.","UNION INKS GRAPHICS PTE LTD","SG",8,"GLUE",1079814,670,1611.66268656716,"Singapore"
"4053","HARBEST AGRIBUSINESS CORPORATION","LIANG JIIN ENTERPRISE CO. LTD.","TW",8,"ADHESIVE",490408,2750,178.330181818182,"Taiwan"
"4054","SAMSUNG ELECTRO-MECHANICS","FINE TECHNOLOGY CO LTD","KR",8,"ADHESIVE",7569146,3001,2522.20793068977,"South Korea"
"4055","SAMSUNG ELECTRO-MECHANICS","CHANG JO CO LTD","KR",8,"ADHESIVE",1585968,1500,1057.312,"South Korea"
"4056","SCAD SERVICES (S) PTE. LTD. - PHIL","FRP SERVICES AND COMPANY","JP",8,"OTHERS",359669,1216,295.780427631579,"Japan"
"4057","SCAD SERVICES (S) PTE. LTD. - PHIL","FRP SERVICES & COMPANY,","JP",8,"OTHERS",356867,1216,293.476151315789,"Japan"
"4058","COLUMBIA INTERNATIONAL FOOD","GELNEX INDUSTRIA E COMERCIO LTDA","BR",8,"GELATIN",7625606,25000,305.02424,"Brazil"
"4059","PHILCHEMA INC","INDUSTRIAL TECNICA PECURIA S.A","ES",8,"OTHERS",7718844,22000,350.856545454545,"Spain"
"4060","SCAD SERVICES (S) PTE. LTD. - PHIL","HRD SINGAPORE PTE LTD","JP",8,"ADHESIVE",314400,562,559.430604982206,"Japan"
"4061","HOUSE TECHNOLOGY INDUSTRIES PTE.LTD","HRD SINGAPORE PTE LTD","JP",8,"OTHERS",15680780,51179,306.390902518611,"Japan"
"4062","SCAD SERVICES (S) PTE. LTD. - PHIL","HRD SINGAPORE PTE LTD","JP",8,"OTHERS",1605084,4344,369.494475138122,"Japan"
"4063","HOUSE TECHNOLOGY INDUSTRIES PTE.LTD","HRD SINGAPORE PTE LTD","JP",8,"EPOXY",3031374,12172,249.044857048965,"Japan"
"4064","CORNELL INGREDIENTS CORPORATION","ROQUETTE ITALIA SPA","IT",8,"OTHERS",1008658,19000,53.0872631578947,"Italy"
"4065","CARGILL JOY POULTRY MEATS PRODUC","GROUPMECH CORPORATION LTD.","TH",8,"SEAL",2218512,21683,102.315731218005,"Thailand"
"4066","INNOVATRADE INGREDIENTS CORPORATION","EUROVO SRL","IT",8,"OTHERS",5098567,14000,364.183357142857,"Italy"
"4067","SAMSUNG ELECTRO-MECHANICS","SAMSUNG SDI CO LTD","KR",8,"EPOXY",439993,600,733.321666666667,"South Korea"
"4068","MAGNA PRIME CHEMICAL TECH. INC.","NINGBO HAITIAN HOLDING GROUP","CN",8,"ADHESIVE",854788,3750,227.943466666667,"China"
"4069","UNIVERSAL APA CORPORATION","PIDILITE INDUSTRIES LIMITED","IN",8,"OTHERS",333344,1423,234.254392129304,"India"
"4070","ASD TOTAL PACKAGE ENTERPRISES INC.","SINCA NUTRITIONS LIMITED","CN",8,"PROTEIN",994529,14850,66.9716498316498,"China"
"4071","HARDWARE & INDUSTRIAL SOLUTIONS INC","HANGZHOU XIAORAN IMPORT &","CN",8,"OTHERS",278819,644,432.948757763975,"China"
"4072","NELTEX DEVELOPMENT CO. INC","NAN YA PLASTICS CORPORATION","TW",8,"GLUE",12995275,108000,120.32662037037,"Taiwan"
"4073","NEW TOUCHSTONE MDSG. ENT. (CEBU) PH","SHENZHEN LUYE EAST IND CO LTD","CN",8,"OTHERS",470448,6515,72.2099769762088,"China"
"4074","SOUTHTRANS TRADING","SHENZHEN GUI HAO CHENG TRADE CO., L","CN",8,"GLUE",312919,3946,79.3003041054232,"China"
"4075","TIMES TRADING CO INC","NINGBO PASCO UNITED INDS CO LT","CN",8,"GLUE",7044341,53276,132.223534049103,"China"
"4076","TECHNICAL MASTER TRADING CORP.","CHWEN SHYANG ENTERPRISE CO LTD","TW",8,"GLUE",457020,10325,44.2634382566586,"Taiwan"
"4077","TECHNICAL MASTER TRADING CORP.","CHWEN SHYANG ENTERPRISE CO.","TW",8,"GLUE",614224,13912,44.1506612995975,"Taiwan"
"4078","HIT INTERNATIONAL PHILS. INC.","UNIVACCO TECHNOLOGY INC.","TW",8,"GLUE",462705,10600,43.6514150943396,"Taiwan"
"4079","TIMES TRADING CO INC","JIANGSU XINGDA STATIONERY GROU","CN",8,"GLUE",9116906,37992,239.969098757633,"China"
"4080","CROWN SUPPLY CORP","JIANGSU  XINGDA STATIONERY","CN",8,"GLUE",2020000,24718,81.7218221538959,"China"
"4081","FEDCHEM MANUFACTURING & DISTRIBUTIO","APPLIED DB PUBLIC COMPANY LTD","TH",8,"ADHESIVE",749607,15600,48.0517307692308,"Thailand"
"4082","UNION INKS AND GRAPHICS PHILS INC.","SHAETTI SHANGHAI HOTMELT ADHESIVE C","CN",8,"OTHERS",362800,1000,362.8,"China"
"4083","PRINT UNIVERSE GRAPHICS & PACKAGING","SHANGHAI ROCKY ADHESIVES","CN",8,"ADHESIVE",984658,13000,75.7429230769231,"China"
"4084","INFINITY SPORTS INTERNATIONAL INC.","KAWAGOE SPORTS GUANGZHOU CO.,LTD","CN",8,"GLUE",346515,5000,69.303,"China"
"4085","PV TECH PTE. LTD. PHIL. BR. OFFICE","SHANGHAI HUITIAN NEW MATERIAL","CN",8,"SEAL",1121793,5400,207.739444444444,"China"
"4086","JABAR ENTERPRISES","TENAX ITALY SRL","IT",8,"OTHERS",2972063,12225,243.113537832311,"Italy"
"4087","INTERNATIONAL INDUSTRY PARTNERS INC","FLOWCRETE ASIA SDN BHD","MY",8,"OTHERS",1595257,13928,114.535970706491,"Malaysia"
"4088","COMMODITY QUEST INC","DEZHOU RUIKANG BIO TECHNOLOGY CO.,L","CN",8,"PROTEIN",11784658,1e+05,117.84658,"China"
"4089","INVOER CORPORATION","LINYI SHANSONG BILOGICAL","CN",8,"PROTEIN",3089895,1e+05,30.89895,"China"
"4090","ASD TOTAL PACKAGE ENTERPRISES INC.","SHANGDONG SINOGLORY  HEalth fo","CN",8,"PROTEIN",925161,22725,40.7111551155116,"China"
"4091","FUDSOURCE CORPORATION","LINYI SHANSONG BIOLOGICAL PROD","CN",8,"OTHERS",3010493,1e+05,30.10493,"China"
"4092","BLAINE FOOD CORPORATION","CHANGCHUN BLOOM XEON IMPORT","CN",8,"OTHERS",429755,16128,26.6465153769841,"China"
